Fecha;Día;Mes;Año;Accion;Desc.1;Desc.2;Talla;cantidad;Motivo;INVENTARIO;Val. Unitario;Subtotal
08/05/2026;;;;SALIDA MERCANCIA;conalco;camiseta fisica;16;1;ENTREGA DE PRODUCTO;1.0;54000.0;54000.0
11/05/2026;;;;INGRESO MERCANCIA;conalco;bombacho;16;1;CAMBIO DE TALLA;0.0;64000.0;0.0
11/05/2026;;;;SALIDA MERCANCIA;conalco;bombacho;XL;1;CAMBIO DE TALLA;0.0;69000.0;0.0
12/05/2026;;;;INGRESO MERCANCIA;conalco;pantalon;12;1;CAMBIO DE TALLA;1.0;76000.0;76000.0
12/05/2026;;;;SALIDA MERCANCIA;conalco;pantalon;14;1;CAMBIO DE TALLA;-1.0;78000.0;-78000.0
12/05/2026;;;;SALIDA MERCANCIA;la inmaculada;blusa;L;1;ENTREGA DE PRODUCTO;-1.0;48000.0;-48000.0
12/05/2026;;;;INGRESO MERCANCIA;la inmaculada;blusa;4;1;CAMBIO DE TALLA;1.0;37000.0;37000.0
12/05/2026;;;;SALIDA MERCANCIA;la inmaculada;blusa;6;1;CAMBIO DE TALLA;-1.0;37000.0;-37000.0
13/05/2026;;;;INGRESO MERCANCIA;la inmaculada;blusa;14;1;CAMBIO DE TALLA;1.0;42000.0;42000.0
13/05/2026;;;;SALIDA MERCANCIA;la inmaculada;blusa;16;1;CAMBIO DE TALLA;-1.0;42000.0;-42000.0
14/05/2026;;;;INGRESO MERCANCIA;la inmaculada;bombacho;16;1;CAMBIO DE TALLA;1.0;58000.0;58000.0
14/05/2026;;;;SALIDA MERCANCIA;la inmaculada;bombacho;S;1;CAMBIO DE TALLA;-1.0;60000.0;-60000.0
15/05/2026;;;;SALIDA MERCANCIA;liceo pupo jimenez;camiseta diario;L;1;CAMBIO DE TALLA;-1.0;56000.0;-56000.0
15/05/2026;;;;INGRESO MERCANCIA;liceo pupo jimenez;camiseta diario;XL;1;CAMBIO DE TALLA;1.0;56000.0;56000.0
16/05/2026;;;;SALIDA MERCANCIA;gimnasio plaza feliz;blusa;16;1;ENTREGA DE PRODUCTO;-1.0;44000.0;-44000.0
19/05/2026;;;;SALIDA MERCANCIA;la inmaculada;bombacho;S;1;ENTREGA DE PRODUCTO;-1.0;60000.0;-60000.0
19/05/2026;;;;INGRESO MERCANCIA;conalco;bombacho;L;1;CAMBIO DE TALLA;1.0;69000.0;69000.0
19/05/2026;;;;SALIDA MERCANCIA;conalco;bombacho;M;1;CAMBIO DE TALLA;-1.0;68000.0;-68000.0
20/05/2026;;;;SALIDA MERCANCIA;la inmaculada;camiseta fisica;10;1;ENTREGA DE PRODUCTO;-1.0;41000.0;-41000.0
20/05/2026;;;;INGRESO MERCANCIA;conalco;pantalon;30;1;CAMBIO DE TALLA;1.0;81000.0;81000.0
20/05/2026;;;;SALIDA MERCANCIA;conalco;pantalon;34;1;CAMBIO DE TALLA;-1.0;86000.0;-86000.0
21/05/2026;;;;INGRESO MERCANCIA;conalco;camiseta fisica;16;1;CAMBIO DE TALLA;1.0;54000.0;54000.0
21/05/2026;;;;SALIDA MERCANCIA;conalco;camiseta fisica;14;1;CAMBIO DE TALLA;-1.0;54000.0;-54000.0
22/05/2026;;;;SALIDA MERCANCIA;conalco;pantalon;8;1;ENTREGA DE PRODUCTO;-1.0;70000.0;-70000.0
22/05/2026;;;;SALIDA MERCANCIA;la inmaculada;camiseta fisica;M;1;ENTREGA DE PRODUCTO;-1.0;45000.0;-45000.0
22/05/2026;;;;SALIDA MERCANCIA;conalco;blusa;M;1;ENTREGA DE PRODUCTO;-1.0;53000.0;-53000.0
22/05/2026;;;;INGRESO MERCANCIA;conalco;guayabera;14;1;CAMBIO DE TALLA;1.0;59000.0;59000.0
